['time stamp', 'Stock Symbol', 'sentiment ratio', 'stock price (current)']
---------------------------------------------------------------------------


['2018-09-11 21:33:14', 'AMD', 56, 30.1]
['2018-09-11 21:34:15', 'AMD', 56, 30.1]
['2018-09-11 21:35:16', 'AMD', 56, 30.1]
['2018-09-11 21:36:16', 'AMD', 53, 30.1]
['2018-09-11 21:37:17', 'AMD', 53, 30.1]
['2018-09-11 21:38:18', 'AMD', 53, 30.1]
['2018-09-11 21:39:19', 'AMD', 50, 30.1]
['2018-09-11 21:40:20', 'AMD', 50, 30.1]
['2018-09-11 21:41:21', 'AMD', 46, 30.1]
['2018-09-11 21:42:21', 'AMD', 46, 30.1]
['2018-09-11 21:43:22', 'AMD', 46, 30.1]
['2018-09-11 21:44:23', 'AMD', 50, 30.1]
['2018-09-11 21:45:24', 'AMD', 46, 30.1]
['2018-09-11 21:46:24', 'AMD', 46, 30.1]
['2018-09-11 21:47:25', 'AMD', 46, 30.1]
['2018-09-11 21:48:26', 'AMD', 43, 30.1]
['2018-09-11 21:49:27', 'AMD', 46, 30.1]
['2018-09-11 21:50:27', 'AMD', 46, 30.1]
['2018-09-11 21:51:28', 'AMD', 53, 30.1]
['2018-09-11 21:52:29', 'AMD', 56, 30.1]
['2018-09-11 21:53:30', 'AMD', 56, 30.1]
['2018-09-11 21:54:30', 'AMD', 60, 30.1]
['2018-09-11 21:55:32', 'AMD', 63, 30.1]
['2018-09-11 21:56:33', 'AMD', 60, 30.1]
['2018-09-11 21:57:34', 'AMD', 60, 30.1]
['2018-09-11 21:58:35', 'AMD', 60, 30.1]
['2018-09-11 21:59:36', 'AMD', 56, 30.1]
['2018-09-11 22:00:37', 'AMD', 56, 30.1]
['2018-09-11 22:01:38', 'AMD', 56, 30.1]
['2018-09-11 22:02:41', 'AMD', 56, 30.1]
['2018-09-11 22:03:41', 'AMD', 60, 30.1]
['2018-09-11 22:04:42', 'AMD', 60, 30.1]
['2018-09-11 22:05:43', 'AMD', 60, 30.1]
['2018-09-11 22:06:44', 'AMD', 60, 30.1]
['2018-09-11 22:07:45', 'AMD', 63, 30.1]
['2018-09-11 22:08:45', 'AMD', 63, 30.1]
['2018-09-11 22:09:46', 'AMD', 63, 30.1]
['2018-09-11 22:10:47', 'AMD', 63, 30.1]
['2018-09-11 22:11:48', 'AMD', 60, 30.1]
['2018-09-11 22:12:48', 'AMD', 60, 30.1]
['2018-09-11 22:13:49', 'AMD', 56, 30.1]
['2018-09-11 22:14:50', 'AMD', 53, 30.1]
['2018-09-11 22:15:50', 'AMD', 53, 30.1]
['2018-09-11 22:16:51', 'AMD', 53, 30.1]
['2018-09-11 22:17:52', 'AMD', 56, 30.1]
['2018-09-11 22:18:53', 'AMD', 53, 30.1]
['2018-09-11 22:19:53', 'AMD', 50, 30.1]
['2018-09-11 22:20:54', 'AMD', 50, 30.1]
['2018-09-11 22:21:55', 'AMD', 50, 30.1]
['2018-09-11 22:22:56', 'AMD', 50, 30.1]
['2018-09-11 22:23:57', 'AMD', 46, 30.1]
['2018-09-11 22:24:57', 'AMD', 46, 30.1]
['2018-09-11 22:25:58', 'AMD', 46, 30.1]
